idno,ppltrst,happy,cgtsday,alcfreq,height,weight,gndr,yrbrn
922802,9,9,,Less than once a month,164.0,64.0,Female,1990.0
922852,2,8,,2-3 times a month,188.0,92.0,Male,1986.0
922860,8,8,,2-3 times a month,159.0,64.0,Female,1993.0
922886,6,5,,Never,160.0,74.0,Female,1932.0
922894,8,Extremely happy,,Several times a week,168.0,60.0,Female,1964.0
922925,9,8,15.0,Once a week,186.0,66.0,Male,1986.0
922933,9,9,,Less than once a month,160.0,98.0,Female,1965.0
922941,7,2,,Less than once a month,185.0,99.0,Male,1991.0
922959,8,9,1.0,Once a month,185.0,84.0,Male,1998.0
922967,8,7,,Once a week,185.0,125.0,Male,1977.0
922975,8,8,,Every day,178.0,63.0,Male,1967.0
922983,6,7,15.0,Once a week,160.0,54.0,Female,1947.0
922991,8,9,,2-3 times a month,166.0,60.0,Female,1934.0
923052,8,Extremely happy,,2-3 times a month,157.0,62.0,Female,1931.0
923060,8,9,,Several times a week,174.0,76.0,Male,1940.0
923094,5,8,,2-3 times a month,165.0,58.0,Female,1986.0
923109,8,9,,Less than once a month,158.0,101.0,Female,1946.0
923125,5,8,0.0,2-3 times a month,178.0,91.0,Male,1987.0
923133,9,8,3.0,Once a week,172.0,65.0,Female,1958.0
923141,7,9,,Several times a week,186.0,75.0,Female,1970.0
923159,8,2,15.0,Several times a week,164.0,51.4,Female,1946.0
923167,3,5,20.0,Less than once a month,184.0,120.0,Male,1971.0
923183,5,9,10.0,Once a month,170.0,58.0,Female,1966.0
923191,8,Extremely happy,,2-3 times a month,170.0,60.0,Female,1953.0
923214,9,9,,Once a month,180.0,63.0,Male,1998.0
923256,7,9,,2-3 times a month,176.0,80.0,Female,1958.0
923264,6,Extremely happy,,Several times a week,173.0,89.0,Male,1943.0
923272,8,8,20.0,Once a week,190.0,81.0,Male,1992.0
923280,9,9,20.0,Once a week,182.0,105.0,Male,1983.0
923329,8,8,,Less than once a month,162.0,74.0,Female,1969.0
923353,7,Extremely happy,,Several times a week,178.0,100.9,Male,1963.0
