idno,ppltrst,happy,cgtsday,alcfreq,height,weight,gndr,yrbrn
929202,Most people can be trusted,Extremely happy,,Once a week,167.0,52.0,Female,1994.0
929210,7,Extremely happy,,Several times a week,180.0,110.0,Male,1949.0
929228,9,9,,Several times a week,182.0,102.0,Male,1938.0
929294,7,8,,Never,178.0,67.0,Female,1970.0
929309,9,9,,Every day,167.0,76.0,Female,1950.0
929325,8,Extremely happy,,Less than once a month,162.0,76.0,Female,1970.0
929359,3,8,,Several times a week,182.0,88.0,Male,1945.0
929367,9,8,,Several times a week,170.0,74.0,Female,1962.0
929391,8,9,,Several times a week,163.0,97.0,Female,1951.0
929406,7,Extremely happy,,Once a week,168.0,75.0,Male,1945.0
929414,7,8,20.0,Several times a week,171.0,60.0,Female,1997.0
929448,Most people can be trusted,1,,Less than once a month,172.0,,Male,1926.0
929456,8,8,,Less than once a month,170.0,70.0,Female,1998.0
929464,7,7,,2-3 times a month,165.0,86.0,Female,1982.0
929472,5,8,20.0,Never,163.0,53.0,Female,1958.0
929480,7,Extremely happy,,2-3 times a month,169.0,66.0,Female,1958.0
929529,9,8,15.0,Several times a week,164.0,77.0,Female,1969.0
929537,6,9,0.0,Several times a week,174.0,64.0,Male,1942.0
929545,8,7,,Once a week,188.0,66.0,Male,1985.0
929561,8,9,,2-3 times a month,187.0,82.0,Male,1997.0
929587,8,7,,Once a week,163.0,78.0,Female,1958.0
929600,8,9,20.0,Every day,174.0,82.0,Male,1943.0
929626,7,7,,Once a month,193.0,72.0,Male,1987.0
929642,8,8,,2-3 times a month,184.0,71.0,Female,1998.0
929668,5,7,,2-3 times a month,178.0,,Female,1970.0
929676,9,8,,Every day,180.0,72.0,Male,1939.0
929684,8,8,17.0,Every day,185.0,72.0,Male,1931.0
929692,5,7,15.0,2-3 times a month,193.0,83.0,Male,1986.0
929707,5,8,,Less than once a month,180.0,96.0,Male,1947.0
929749,9,8,,2-3 times a month,170.0,85.0,Male,1969.0
929757,4,8,20.0,Less than once a month,168.0,80.0,Male,1969.0
929781,6,8,,Less than once a month,162.0,87.0,Female,1938.0
929799,7,8,,Every day,197.0,110.0,Male,1953.0
929854,7,8,10.0,Once a week,176.0,71.0,Male,1992.0
929862,9,9,,Several times a week,175.0,82.0,Male,1952.0
929870,9,Extremely happy,,Less than once a month,163.0,69.0,Female,1947.0
929919,6,Extremely happy,,Several times a week,173.0,66.0,Female,1940.0
929951,8,9,,Once a week,177.0,66.0,Female,1976.0
929977,4,8,15.0,2-3 times a month,175.0,75.0,Male,1985.0
929985,7,8,0.0,Several times a week,172.0,76.0,Female,1969.0
929993,8,Extremely happy,,Once a month,184.0,73.0,Male,1997.0
930023,5,5,,Every day,185.0,67.0,Male,1946.0
930049,7,9,,Once a month,175.0,64.0,Female,1997.0
930057,8,Extremely happy,,Several times a week,173.0,58.0,Female,1968.0
930104,5,9,20.0,Several times a week,181.0,85.0,Male,1946.0
930112,8,9,,Once a week,194.0,71.0,Male,1963.0
930154,4,7,6.0,Once a month,182.0,81.0,Male,1988.0
930170,7,Extremely happy,9.0,Less than once a month,195.0,120.0,Male,1982.0
930196,7,7,,2-3 times a month,175.0,56.0,Male,1941.0
930219,8,Extremely happy,,Once a week,179.0,83.0,Male,1962.0
930227,7,8,0.0,2-3 times a month,170.0,73.0,Female,1973.0
930285,4,6,,Several times a week,177.0,76.0,Male,1977.0
930293,You can't be too careful,4,10.0,Every day,160.0,42.0,Female,1945.0
930316,4,1,10.0,Every day,174.0,75.0,Male,1947.0
930324,5,7,,Every day,168.0,85.0,Male,1941.0
930332,8,9,,Once a week,178.0,89.0,Male,1985.0
930374,9,9,,Several times a week,158.0,61.0,Female,1964.0
930382,4,6,,Never,175.0,90.0,Female,1983.0
930413,5,6,,Several times a week,164.0,53.0,Female,1973.0
930439,7,8,1.0,Once a week,182.0,75.0,Male,1980.0
930497,7,8,,2-3 times a month,175.0,76.0,Female,1987.0
930510,8,8,,Every day,190.0,103.0,Male,1960.0
930528,5,8,,Several times a week,178.0,72.0,Male,1978.0
930578,7,9,,Once a month,166.0,71.0,Female,1952.0
930594,7,Extremely happy,,2-3 times a month,176.0,114.0,Female,1965.0
930625,7,8,,Once a week,161.0,68.0,Female,1986.0
930633,3,8,,Less than once a month,160.0,60.0,Female,1979.0
930659,8,7,4.0,Less than once a month,176.0,80.0,Female,1969.0
930667,5,Extremely happy,,Once a week,170.0,70.0,Male,1932.0
930714,8,9,,Less than once a month,169.0,66.0,Female,1977.0
930730,Most people can be trusted,9,,Several times a week,160.0,84.0,Female,1974.0
930772,6,7,3.0,2-3 times a month,168.0,40.0,Female,1957.0
930780,7,9,,Once a week,204.0,112.0,Male,1983.0
930811,8,Extremely happy,,Several times a week,175.0,95.0,Male,1937.0
930829,7,9,,Once a week,185.0,116.0,Male,1958.0
930845,7,9,,Once a month,174.0,96.0,Male,1976.0
930853,5,8,,2-3 times a month,168.0,69.0,Female,1947.0
930879,7,9,,Several times a week,182.0,82.0,Male,1965.0
930887,8,8,,2-3 times a month,192.0,84.0,Male,1979.0
930926,8,Extremely happy,,Several times a week,174.0,83.0,Male,1948.0
930942,8,Extremely happy,,Several times a week,163.0,55.0,Female,1950.0
930968,8,8,,Once a week,168.0,60.0,Female,1964.0
930976,5,Extremely happy,,Less than once a month,163.0,56.0,Female,1995.0
930984,6,Extremely happy,,Once a week,163.0,69.0,Female,1973.0
930992,9,9,,Several times a week,177.0,84.0,Male,1975.0
931003,8,7,,Once a week,168.0,74.0,Male,1980.0
931011,6,6,,Never,184.0,78.0,Male,1978.0
931029,5,7,15.0,Less than once a month,190.0,84.0,Male,1959.0
931037,9,5,10.0,2-3 times a month,180.0,86.0,Male,1961.0
931087,9,9,,Once a week,165.0,71.0,Female,1989.0
931095,2,6,,2-3 times a month,167.0,86.0,Female,1949.0
931118,8,7,4.0,Several times a week,177.0,63.0,Female,1967.0
931126,8,Extremely happy,,Less than once a month,162.0,81.0,Female,1961.0
931134,7,6,,Never,159.0,75.0,Female,1936.0
931142,8,9,,Once a month,168.0,65.0,Female,1939.0
931150,8,9,,Once a week,187.0,86.0,Male,1985.0
931192,9,Extremely happy,,Several times a week,162.0,64.0,Female,1953.0
931207,6,7,,Once a month,180.0,79.0,Male,1989.0
931249,3,8,,Several times a week,176.0,66.0,Male,1975.0
931281,5,7,,2-3 times a month,186.0,83.0,Male,1988.0
931299,7,6,15.0,Once a month,183.0,88.0,Male,1991.0
931304,8,9,,2-3 times a month,163.0,54.0,Female,1970.0
931320,7,8,20.0,Once a week,185.0,81.0,Male,1974.0
931338,8,8,,Several times a week,175.0,53.0,Female,1965.0
931354,6,8,0.0,Once a week,165.0,54.0,Male,1998.0
931370,7,7,,Several times a week,162.0,84.0,Female,1939.0
931396,5,8,,Several times a week,167.0,50.0,Female,1930.0
931419,7,Extremely happy,4.0,Every day,175.0,72.0,Male,1951.0
931435,8,9,,Once a week,181.0,70.0,Male,1976.0
931443,5,Extremely happy,,Several times a week,185.0,66.0,Male,1990.0
931469,Most people can be trusted,9,,Less than once a month,168.0,75.0,Female,1953.0
931493,5,6,20.0,Less than once a month,167.0,98.0,Male,1946.0
931540,8,9,,2-3 times a month,164.0,56.0,Female,1971.0
931566,Most people can be trusted,9,9.0,Every day,160.0,47.0,Female,1946.0
931574,7,Extremely happy,,Once a week,166.0,67.0,Male,1938.0
931605,1,,,,,,Male,1936.0
931621,8,Extremely happy,,2-3 times a month,162.0,86.0,Female,1938.0
931639,Most people can be trusted,8,,Once a week,178.0,67.0,Female,1966.0
931647,7,8,10.0,2-3 times a month,170.0,70.0,Female,1987.0
931663,8,8,,Less than once a month,184.0,80.0,Male,1965.0
931689,9,9,15.0,Once a month,186.0,85.0,Male,1972.0
931697,8,9,,2-3 times a month,150.0,52.0,Female,1946.0
931728,5,3,1.0,Never,179.0,56.0,Male,1983.0
931736,9,Extremely happy,,Once a week,175.0,80.0,Female,1965.0
931744,7,7,10.0,Every day,172.0,57.0,Female,1953.0
931794,5,Extremely happy,,,,,Male,1990.0
931817,5,Extremely happy,,Several times a week,167.0,65.0,Female,1945.0
931825,7,9,,Once a month,173.0,74.0,Male,1994.0
931833,8,9,,Once a week,184.0,70.0,Female,1993.0
931841,7,7,10.0,Several times a week,187.0,85.0,Male,1992.0
931867,5,9,5.0,Once a month,168.0,58.0,Female,1994.0
931906,5,Extremely happy,0.0,Never,179.0,62.0,Male,1938.0
931930,5,Extremely happy,,Several times a week,162.0,65.0,Female,1949.0
931948,7,8,,Several times a week,176.0,72.0,Male,1949.0
931964,8,Extremely happy,,Less than once a month,165.0,60.0,Female,1984.0
932025,1,8,,Several times a week,170.0,80.0,Female,1944.0
932033,5,9,,2-3 times a month,157.0,78.0,Female,1968.0
932041,7,9,,2-3 times a month,179.0,84.0,Male,1954.0
932059,4,5,7.0,2-3 times a month,160.0,61.0,Female,1983.0
932067,5,6,,Never,188.0,137.0,Male,1966.0
932083,7,Extremely happy,,Every day,160.0,44.0,Female,1934.0
932091,6,9,,Several times a week,178.0,82.0,Male,1985.0
932106,8,9,,Less than once a month,170.0,,Female,1975.0
932130,2,9,,Several times a week,178.0,77.0,Male,1971.0
932148,8,9,,Several times a week,167.0,51.0,Female,1944.0
932156,3,2,,Never,173.0,74.0,Female,1969.0
932180,8,7,,Once a month,187.0,70.0,Male,1989.0
932229,8,Extremely happy,20.0,Less than once a month,187.0,75.0,Male,1993.0
932237,8,8,,Several times a week,176.0,82.0,Male,1946.0
932245,9,8,,Every day,174.0,76.0,Male,1956.0
932253,8,7,,Several times a week,170.0,57.0,Female,1971.0
932261,7,Extremely happy,,2-3 times a month,180.0,85.0,Male,1996.0
932287,9,9,,Less than once a month,167.0,48.0,Female,1993.0
932318,You can't be too careful,9,,2-3 times a month,180.0,77.0,Male,1965.0
932368,9,9,,Several times a week,160.0,75.0,Female,1972.0
932407,3,9,,2-3 times a month,184.0,66.0,Male,1998.0
932481,5,8,12.0,Several times a week,180.0,75.0,Male,1985.0
932499,5,Extremely happy,,2-3 times a month,166.0,108.0,Female,1953.0
932504,8,8,0.0,2-3 times a month,172.0,67.0,Male,1976.0
932512,8,7,,2-3 times a month,172.0,75.0,Female,1958.0
932520,5,8,,Every day,160.0,72.0,Female,1957.0
932538,7,9,,Once a week,175.0,69.0,Female,1949.0
932546,7,8,10.0,Several times a week,186.0,66.0,Male,1955.0
932562,8,Extremely happy,,Several times a week,167.0,78.0,Female,1955.0
932570,8,Extremely happy,,Several times a week,160.0,56.0,Female,1949.0
932588,4,9,,Once a month,179.0,78.0,Male,1989.0
932596,9,Extremely happy,,Every day,158.0,48.0,Female,1960.0
932601,7,8,20.0,Once a week,183.0,86.0,Male,1948.0
932643,8,Extremely happy,20.0,Less than once a month,177.0,80.0,Male,1991.0
932651,1,8,,2-3 times a month,187.0,79.0,Male,1997.0
932669,8,9,,Several times a week,182.0,85.0,Female,1986.0
932677,Most people can be trusted,9,,Never,185.0,80.0,Male,1953.0
932685,3,3,,,165.0,55.0,Female,1925.0
932708,9,9,,Several times a week,178.0,92.0,Male,1951.0
932716,3,8,,Several times a week,166.0,71.0,Female,1940.0
932724,5,9,,Once a week,167.0,66.0,Female,1951.0
932732,7,8,,2-3 times a month,174.0,88.0,Female,1968.0
932758,9,8,,Once a week,165.0,51.0,Female,1926.0
932766,8,3,2.0,Once a month,188.0,70.0,Male,1987.0
932774,8,7,,Several times a week,155.0,77.0,Female,1960.0
932855,3,9,,Less than once a month,160.0,50.0,Female,1999.0
932871,2,5,2.0,Several times a week,175.0,68.0,Male,1942.0
932889,9,8,,2-3 times a month,175.0,,Female,1968.0
932897,You can't be too careful,7,10.0,Several times a week,187.0,110.0,Male,1993.0
932902,8,9,,Once a week,173.0,63.0,Male,1931.0
932910,8,8,,Several times a week,180.0,66.0,Female,1956.0
932928,6,8,,Every day,185.0,94.0,Male,1950.0
932978,5,7,,Less than once a month,163.0,62.0,Female,1971.0
933005,7,Extremely happy,,Once a week,167.0,75.0,Female,1956.0
933013,8,8,,Less than once a month,191.0,97.0,Male,1972.0
933021,9,8,,Once a week,160.0,57.0,Female,1948.0
933039,8,8,,Once a month,172.0,72.0,Male,1965.0
933071,8,Extremely happy,,Once a month,200.0,120.0,Male,1980.0
933097,8,8,,Once a week,172.0,77.0,Male,1972.0
933110,3,9,20.0,2-3 times a month,193.0,94.0,Male,1988.0
933128,8,8,20.0,Once a week,174.0,71.0,Male,1949.0
933144,8,9,,2-3 times a month,190.0,72.0,Male,1993.0
933160,8,8,,Every day,184.0,86.0,Male,1960.0
933178,9,7,20.0,Several times a week,187.0,93.0,Male,1951.0
933186,5,8,,Never,162.0,58.0,Female,1968.0
933209,9,Extremely happy,,Every day,182.0,75.0,Male,1992.0
933233,8,9,,Once a week,182.0,70.0,Male,1994.0
933259,9,8,,Once a week,172.0,75.0,Male,1955.0
933275,8,8,,2-3 times a month,171.0,72.0,Female,1938.0
933291,Most people can be trusted,Extremely happy,,Never,161.0,53.0,Male,1953.0
933322,8,7,,Less than once a month,180.0,74.0,Male,1965.0
933348,7,9,,Once a week,173.0,80.0,Male,1995.0
933372,7,9,,Once a week,178.0,88.0,Male,1971.0
933398,7,8,15.0,Never,169.0,70.0,Male,1985.0
933403,8,Extremely happy,10.0,2-3 times a month,158.0,52.0,Female,1967.0
933429,8,9,,2-3 times a month,166.0,65.0,Female,1953.0
933445,8,7,,Once a week,183.0,85.0,Male,1989.0
933461,8,8,,Never,161.0,58.0,Female,1944.0
933487,5,8,,Several times a week,167.0,80.0,Female,1929.0
933518,5,7,20.0,Once a month,169.0,80.0,Female,1985.0
933542,You can't be too careful,,,,,,Female,1978.0
933607,3,9,,Never,174.0,72.0,Female,1958.0
933623,4,Extremely happy,,2-3 times a month,183.0,77.0,Female,1958.0
933649,8,8,5.0,Once a week,164.0,57.0,Female,1945.0
933657,8,6,,Several times a week,173.0,108.0,Female,1969.0
933673,1,Extremely happy,12.0,Once a week,162.0,48.0,Female,1922.0
933704,9,9,,Several times a week,167.0,62.0,Female,1959.0
933712,9,8,,Several times a week,187.0,86.0,Male,1965.0
933738,8,9,,Several times a week,165.0,66.0,Female,1963.0
933835,7,9,30.0,Once a week,176.0,85.0,Male,1973.0
933869,7,8,10.0,Once a month,176.0,65.0,Male,1990.0
933893,9,8,,Once a week,182.0,70.0,Male,1990.0
933908,3,8,,Several times a week,184.0,108.0,Male,1961.0
933916,8,8,20.0,Every day,165.0,57.0,Male,1965.0
933924,Most people can be trusted,9,10.0,Less than once a month,174.0,80.0,Female,1974.0
933940,8,9,,2-3 times a month,185.0,75.0,Male,1945.0
933974,4,8,,Less than once a month,168.0,81.0,Female,1998.0
933990,9,9,,Less than once a month,155.0,77.5,Female,1942.0
934001,8,Extremely happy,,2-3 times a month,184.0,82.0,Male,1979.0
934035,8,9,,Every day,180.0,89.0,Male,1941.0
934069,8,8,,Several times a week,157.0,92.0,Female,1987.0
934077,3,8,,Less than once a month,173.0,72.0,Female,1962.0
934093,4,8,10.0,Never,162.0,60.0,Female,1996.0
934108,6,6,,Once a week,180.0,81.0,Male,1971.0
934124,8,9,,Once a month,160.0,70.0,Female,1947.0
934158,6,8,12.0,2-3 times a month,187.0,86.0,Male,1966.0
934190,7,8,,Less than once a month,169.0,75.0,Female,1990.0
934247,9,Extremely happy,20.0,Never,162.0,90.0,Female,1954.0
934255,8,7,,Once a week,170.0,80.0,Male,1931.0
934263,8,9,,Every day,181.0,96.0,Male,1967.0
934289,9,Extremely happy,,Every day,178.0,61.0,Female,1948.0
934302,8,7,,Less than once a month,180.0,85.0,Female,1977.0
934344,You can't be too careful,Extremely happy,20.0,Every day,180.0,80.0,Male,1960.0
934352,9,9,,2-3 times a month,182.0,70.0,Male,1985.0
934360,2,5,,Less than once a month,160.0,75.0,Female,1930.0
934386,6,9,7.0,Every day,165.0,59.0,Female,1964.0
934433,8,8,4.0,Several times a week,170.0,76.0,Male,1953.0
934467,8,8,,2-3 times a month,179.0,72.0,Female,1973.0
934475,8,8,,Several times a week,178.0,84.0,Male,1985.0
934483,8,7,,Once a month,160.0,57.0,Female,1940.0
934491,9,8,,Several times a week,160.0,60.0,Female,1967.0
934522,8,9,,Every day,182.0,98.0,Male,1944.0
934548,9,9,,2-3 times a month,168.0,88.2,Female,1971.0
934556,6,8,1.0,Once a month,167.0,63.0,Male,1990.0
934564,5,8,10.0,Never,164.0,52.0,Male,1962.0
934611,8,Extremely happy,4.0,Several times a week,166.0,88.0,Male,1970.0
934629,4,Extremely happy,,2-3 times a month,178.0,94.0,Male,1968.0
934637,8,Extremely happy,,Every day,182.0,77.0,Male,1944.0
934645,8,6,8.0,Once a month,169.0,65.0,Female,1948.0
934653,8,7,,Once a month,163.0,57.0,Female,1977.0
934661,5,9,,Several times a week,183.0,83.0,Male,1985.0
934695,7,9,,Once a week,162.0,62.0,Female,1919.0
934700,5,Extremely happy,,Several times a week,182.0,66.0,Male,1945.0
934726,4,Extremely happy,,Never,160.0,77.0,Female,1947.0
934750,5,9,,Less than once a month,170.0,69.0,Male,1942.0
934784,5,8,5.0,Every day,174.0,90.0,Male,1985.0
934807,7,6,,Several times a week,188.0,112.0,Male,1975.0
934831,7,Extremely happy,,Several times a week,177.0,85.0,Male,1951.0
934865,1,7,,Never,168.0,56.0,Female,1986.0
934873,8,7,,Never,170.0,75.0,Male,1973.0
934881,Most people can be trusted,9,,Several times a week,166.0,76.0,Female,1951.0
934904,9,Extremely happy,,Every day,165.0,77.0,Male,1923.0
934912,5,8,0.0,2-3 times a month,180.0,88.0,Male,1963.0
934938,8,9,,Several times a week,166.0,75.0,Female,1964.0
934954,Most people can be trusted,7,,Several times a week,170.0,68.0,Female,1965.0
934962,6,7,,2-3 times a month,169.0,58.0,Female,1976.0
934970,8,9,15.0,Several times a week,176.0,77.0,Female,1954.0
934988,7,8,5.0,Never,176.0,68.0,Female,1969.0
934996,8,Extremely happy,,2-3 times a month,153.0,55.0,Male,1993.0
935007,9,8,15.0,2-3 times a month,180.0,78.0,Male,1953.0
935057,8,8,20.0,Less than once a month,173.0,73.0,Male,1969.0
935099,8,8,,Every day,164.0,68.0,Female,1926.0
935104,5,Extremely happy,,Every day,172.0,84.0,Female,1960.0
935112,3,6,,Several times a week,178.0,81.0,Male,1958.0
935138,3,8,,Several times a week,176.0,80.0,Male,1956.0
935170,3,Extremely happy,30.0,Never,189.0,87.0,Male,1976.0
935235,5,9,,Less than once a month,164.0,67.0,Female,1981.0
935251,6,7,,Once a week,190.0,93.0,Male,1991.0
935269,3,6,8.0,Every day,164.0,52.0,Female,1936.0
935285,8,Extremely happy,,Every day,180.0,70.0,Male,1923.0
935316,7,Extremely happy,,Several times a week,172.0,63.0,Male,1978.0
935332,8,8,,Once a month,175.0,61.0,Female,1992.0
935340,7,9,,Once a week,193.0,72.0,Male,1997.0
935382,5,8,15.0,Never,160.0,63.0,Female,1955.0
935405,9,9,,2-3 times a month,163.0,66.0,Female,1938.0
935439,8,9,,Once a month,159.0,80.0,Female,1923.0
935463,4,9,,Less than once a month,165.0,,Female,1985.0
935489,9,6,,Several times a week,173.0,70.0,Male,1988.0
935502,9,8,20.0,Several times a week,179.0,82.0,Male,1971.0
935536,7,9,,Once a month,182.0,92.0,Male,1976.0
935560,5,8,,Never,173.0,90.0,Female,1981.0
935586,4,4,10.0,2-3 times a month,175.0,63.0,Male,1961.0
935594,4,8,,2-3 times a month,187.0,79.0,Male,1997.0
935609,8,8,,Less than once a month,170.0,66.0,Male,1978.0
935633,8,9,,Several times a week,163.0,63.0,Female,1962.0
935641,8,9,,Several times a week,186.0,88.0,Male,1958.0
935659,Most people can be trusted,9,,Never,165.0,80.0,Female,1979.0
935667,9,7,20.0,Once a week,184.0,80.0,Male,1966.0
935706,8,9,,Once a week,170.0,82.5,Male,1965.0
935714,7,8,,Once a month,180.0,60.0,Male,1997.0
935764,5,8,,Less than once a month,156.0,54.0,Female,1980.0
935780,5,9,,Once a week,169.0,70.0,Female,1975.0
935811,5,9,8.0,2-3 times a month,174.0,69.0,Female,1974.0
935829,8,9,,2-3 times a month,175.0,60.0,Female,1980.0
935845,7,Extremely happy,,Less than once a month,167.0,92.0,Female,1980.0
935853,8,8,,2-3 times a month,173.0,95.0,Male,1945.0
935879,7,8,,Several times a week,173.0,69.0,Male,1984.0
935887,7,9,1.0,Less than once a month,173.0,68.0,Female,1969.0
935895,7,9,,Several times a week,168.0,90.0,Female,1969.0
935934,7,5,2.0,Several times a week,188.0,74.0,Male,1994.0
935950,8,8,,Once a week,162.0,74.0,Female,1949.0
935968,9,Extremely happy,,Several times a week,185.0,90.0,Male,1955.0
935976,7,8,0.0,Never,165.0,67.0,Female,1926.0
935984,8,7,20.0,Several times a week,183.0,81.0,Male,1972.0
936003,3,9,,Once a week,175.0,95.0,Male,1947.0
936011,7,9,,Several times a week,162.0,69.0,Female,1942.0
936037,8,3,,Never,187.0,84.0,Male,1968.0
936053,8,9,3.0,Several times a week,183.0,94.0,Male,1979.0
936079,5,7,,2-3 times a month,172.0,85.0,Female,1962.0
936087,8,7,,Several times a week,177.0,61.0,Female,1973.0
936095,7,8,,2-3 times a month,188.0,66.0,Male,1978.0
936100,8,Extremely happy,,Less than once a month,160.0,62.0,Female,1983.0
936118,Most people can be trusted,9,,Several times a week,170.0,82.0,Female,1971.0
936134,7,9,,Less than once a month,160.0,55.0,Female,1998.0
936150,8,9,,Several times a week,182.0,73.0,Male,1955.0
936184,9,9,,Several times a week,183.0,83.0,Male,1968.0
936207,8,8,,Once a month,168.0,63.0,Female,1984.0
936249,4,3,,Less than once a month,189.0,107.0,Male,1964.0
936265,7,8,,Less than once a month,179.0,80.0,Male,1965.0
936273,7,7,,Several times a week,176.0,70.0,Female,1966.0
936281,7,7,,Several times a week,,,Male,1992.0
936299,8,9,8.0,Several times a week,172.0,73.0,Female,1965.0
936312,3,Extremely happy,,Several times a week,162.0,64.0,Female,1951.0
936320,6,Extremely happy,20.0,Less than once a month,175.0,74.0,Male,1983.0
936346,6,9,,Once a month,186.0,80.0,Male,1993.0
936362,8,9,,Every day,174.0,72.0,Male,1945.0
936370,8,Extremely happy,,Several times a week,167.0,72.0,Female,1950.0
936396,8,8,10.0,Once a week,168.0,78.0,Female,1963.0
936427,8,Extremely happy,,2-3 times a month,164.0,61.0,Female,1948.0
936435,8,Extremely happy,,Never,163.0,75.0,Female,1945.0
936443,7,8,7.0,Several times a week,173.0,72.0,Female,1991.0
936485,7,7,,Once a week,184.0,98.0,Male,1963.0
936516,8,9,,Several times a week,172.0,66.0,Female,1961.0
936540,6,Extremely happy,,Several times a week,182.0,88.0,Male,1959.0
936558,8,3,40.0,Every day,180.0,63.0,Male,1977.0
936566,9,9,,Once a week,164.0,62.0,Female,1975.0
936574,9,8,,Once a week,162.0,64.0,Female,1965.0
936590,7,9,25.0,Every day,179.0,85.0,Male,1954.0
936621,8,9,15.0,Several times a week,163.0,70.0,Female,1968.0
936655,5,Extremely happy,,Less than once a month,170.0,68.0,Female,1997.0
936663,7,7,2.0,Once a week,180.0,92.0,Male,1977.0
936697,8,8,,Several times a week,172.0,80.0,Male,1950.0
936702,8,9,,Every day,165.0,53.0,Female,1958.0
936710,9,Extremely happy,,Once a month,172.0,60.0,Female,1954.0
936728,8,9,,Once a week,183.0,91.0,Male,1969.0
936736,8,8,,Every day,172.0,63.0,Female,1941.0
936744,5,Extremely happy,12.0,Several times a week,163.0,58.0,Male,1988.0
936752,5,9,20.0,Never,168.0,65.0,Female,1960.0
936760,8,7,,2-3 times a month,168.0,57.0,Female,1989.0
936778,7,6,15.0,Several times a week,174.0,82.0,Male,1960.0
936794,5,8,,2-3 times a month,185.0,83.0,Male,1947.0
936825,7,Extremely happy,,Once a week,179.0,70.0,Male,1999.0
936859,5,8,,Every day,183.0,106.0,Male,1946.0
936883,5,8,,2-3 times a month,163.0,64.0,Female,1945.0
936906,6,8,10.0,Every day,178.0,77.0,Male,1953.0
936922,8,9,,Several times a week,166.0,61.0,Female,1949.0
936948,4,Extremely happy,,Less than once a month,186.0,125.0,Male,1982.0
936956,7,8,,Once a month,179.0,90.0,Male,1941.0
936964,8,9,0.0,Several times a week,178.0,88.0,Male,1947.0
936980,7,8,,Once a month,170.0,80.0,Male,1967.0
936998,7,7,,Never,176.0,70.0,Male,1976.0
937009,7,9,,Once a week,173.0,96.0,Male,1964.0
937017,8,9,,Every day,164.0,78.0,Female,1950.0
937041,2,9,2.0,Once a week,160.0,71.0,Female,1981.0
937059,4,8,19.0,Never,184.0,64.0,Male,1990.0
937083,4,9,,Several times a week,185.0,80.0,Male,1972.0
937106,7,8,17.0,Less than once a month,168.0,68.0,Male,1994.0
937114,8,8,,Once a month,172.0,61.0,Female,1981.0
937148,5,8,,Once a week,169.0,120.0,Female,1959.0
937172,8,9,2.0,Several times a week,168.0,60.0,Female,1982.0
937180,8,8,,Several times a week,170.0,82.0,Female,1971.0
937198,4,Extremely happy,10.0,Less than once a month,164.0,60.0,Female,1993.0
937245,8,9,,2-3 times a month,165.0,65.0,Female,1963.0
937253,8,9,,Several times a week,173.0,90.0,Female,1950.0
937261,You can't be too careful,9,,Less than once a month,180.0,75.0,Female,1981.0
937318,8,9,,Never,164.0,59.0,Female,1959.0
937342,5,5,4.0,Several times a week,175.0,83.0,Male,1943.0
937368,4,Extremely happy,,Every day,162.0,104.0,Male,1948.0
937376,7,9,,Several times a week,178.0,78.0,Male,1945.0
937384,8,8,,2-3 times a month,183.0,89.0,Male,1975.0
937392,7,9,,Several times a week,170.0,80.0,Male,1955.0
937415,8,9,,Once a week,194.0,79.0,Male,1995.0
937423,8,8,,Less than once a month,180.0,76.0,Female,1964.0
937431,7,9,,Once a week,183.0,88.0,Male,1955.0
937449,8,8,,2-3 times a month,182.0,92.0,Male,1974.0
937465,4,8,20.0,Every day,168.0,64.0,Male,1968.0
937499,8,9,,Once a week,162.0,,Female,1968.0
937504,Most people can be trusted,Extremely happy,,Less than once a month,157.0,,Female,1937.0
937538,6,6,15.0,Once a week,173.0,59.0,Female,1995.0
937546,8,8,,Several times a week,170.0,75.0,Male,1947.0
937554,5,Extremely happy,6.0,Once a week,172.0,68.0,Female,1978.0
937562,7,7,,Once a week,167.0,82.0,Female,1946.0
937596,7,7,,Once a month,168.0,58.0,Female,1980.0
937619,7,8,,Several times a week,158.0,58.0,Female,1956.0
937627,7,9,,Once a month,180.0,85.0,Male,1969.0
937643,9,8,,Once a month,164.0,70.0,Female,1960.0
937677,8,Extremely happy,,Every day,175.0,67.0,Male,1925.0
937716,8,9,8.0,Once a week,170.0,78.0,Female,1943.0
937758,7,8,,Several times a week,174.0,73.0,Male,1961.0
937774,7,9,,Once a week,163.0,58.0,Female,1976.0
937782,8,9,,Several times a week,186.0,96.0,Male,1959.0
937805,7,8,15.0,Several times a week,167.0,70.0,Female,1959.0
937813,5,8,,Several times a week,183.0,92.0,Male,1975.0
937821,3,5,,2-3 times a month,178.0,110.0,Male,1953.0
937839,Most people can be trusted,Extremely happy,,Once a week,174.0,94.0,Male,1957.0
937863,8,8,,Several times a week,187.0,66.0,Male,1967.0
937910,4,7,20.0,Once a week,180.0,80.0,Male,1963.0
937928,8,9,,Once a week,158.0,59.0,Female,1953.0
937952,8,8,,Less than once a month,165.0,111.0,Female,1973.0
937960,8,9,,Once a month,179.0,82.0,Female,1954.0
938005,9,9,,Once a week,177.0,73.0,Female,1988.0
938013,6,8,,Never,168.0,70.0,Female,1968.0
938039,9,7,1.0,Several times a week,187.0,84.0,Male,1973.0
938047,8,9,,Never,178.0,66.0,Male,1956.0
938055,8,Extremely happy,,Less than once a month,172.0,72.0,Female,1979.0
938063,7,8,,Several times a week,180.0,80.0,Male,1944.0
